author_name,author_id,citations,paper_count,h_index,institution
ramit sawhney,51042088,1164,77,21,
ke zhu,2041291246,45,14,3,
shansan gong,2165001433,100,6,3,
shaowen peng,2072711285,30,7,3,
kazunari sugiyama,3060386,2404,52,17,
tsunenori mine,47914038,807,166,13,
chenchen ye,2075203721,12,2,2,
wei ji,2072613978,160,21,7,
lizi liao,2053831159,97,25,6,
shuyi wang,2108710439,18,10,3,
p. cremonesi,1709519,5818,206,31,
riccardo nembrini,2124653987,25,4,2,
g. faggioli,80808662,177,45,7,
n. ferro,2046170685,179,42,8,
fabio moroni,2164384274,8,2,1,
maurizio ferrari dacrema,51237994,814,42,9,
harrisen scells,8842143,479,47,14,
ryen w. white,34286525,16830,291,63,
dana mckay,4797155,998,118,18,
marwah alaofi,73067160,9,4,2,
l. saling,2796370,970,33,10,
l. gallagher,35154089,161,16,6,
moshe tennenholtz,1708847,9882,318,48,
oren kurland,1779654,2579,111,26,
benjamin d. wedin,2010374630,98,5,3,
lucas dixon,2065639113,2175,30,12,
